City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,illapel,-31.6308,-71.1653,24.94,35,0,2.68,CL,1711923290
178,callao,-12.0667,-77.15,25.16,69,0,7.2,PE,1711923469
179,marat,25.0701,45.4615,19.01,77,97,6.8,SA,1711923538
180,puerto princesa,9.7392,118.7353,25.99,83,20,2.06,PH,1711923538
181,geraldton,-28.7667,114.6,20.23,64,63,6.69,AU,1711923448
182,malango,-2.9627,119.9001,20.7,97,100,0.61,ID,1711923539
183,kailua-kona,19.6406,-155.9956,26.95,81,20,6.17,US,1711923452
184,ceylanpinar,36.8472,40.05,16.62,56,0,2.08,TR,1711923539
185,puruliya,23.3333,86.3667,27.23,45,0,3.24,IN,1711923539
186,parun,35.4207,70.9221,-5.49,58,30,4.99,AF,1711923539
187,nemuro,43.3236,145.575,0.67,77,3,4.26,JP,1711923255
188,hasilpur,29.7122,72.5553,20.35,42,96,3.39,PK,1711923540
189,sinabang,2.4803,96.3801,26.44,85,92,0.22,ID,1711923457
190,pandan,14.0453,124.1694,25.68,86,100,3.67,PH,1711923540
191,manokwari,-0.8667,134.0833,26.51,79,98,0.74,ID,1711923540
192,chernyshevskiy,63.0128,112.4714,-27.23,100,100,1.15,RU,1711923540
193,taltal,-25.4,-70.4833,20.74,74,23,2.48,CL,1711923540
194,nova sintra,14.8667,-24.7167,18.94,75,2,9.6,CV,1711923469
195,mumbwa,-14.9783,27.0619,20.14,59,72,3.24,ZM,1711923541
196,ponta delgada,37.7333,-25.6667,14.4,54,20,4.63,PT,1711923541
197,porbandar,21.6422,69.6093,24.1,76,83,4.58,IN,1711923541
198,mawlaik,23.6333,94.4167,21.29,66,11,0.15,MM,1711923434
199,veraval,20.9,70.3667,23.8,74,48,5.14,IN,1711923426
200,hun,29.1268,15.9477,26.27,9,100,6.75,LY,1711923542
201,tiksi,71.6872,128.8694,-8.89,83,100,9.13,RU,1711923421
202,carnarvon,-24.8667,113.6333,25.26,53,65,6.74,AU,1711923466
203,ajaccio,42.0,8.9167,15.99,56,75,3.09,FR,1711923382
204,vikhorevka,56.1201,101.1636,-1.23,90,100,5.89,RU,1711923542
205,chos malal,-37.3781,-70.2709,18.06,37,100,4.5,AR,1711923542
206,bejaia,36.7559,5.0843,23.6,38,61,2.06,DZ,1711923542
207,cox's bazar,21.4532,91.9798,23.17,95,1,3.39,BD,1711923543
208,kolonia,50.9333,6.95,12.12,87,0,4.63,DE,1711923398
209,tukrah,32.5341,20.5791,21.59,27,0,4.77,LY,1711923543
210,bayanhongor,46.7167,100.1167,-2.97,80,74,1.89,MN,1711923439
211,kalmunai,7.4167,81.8167,26.36,80,25,0.34,LK,1711923476
212,mumford,5.2618,-0.759,28.3,82,100,4.37,GH,1711923543
213,arno,60.1167,18.6333,2.1,96,99,1.2,SE,1711923544
214,monterrey,25.6667,-100.3167,35.97,42,90,3.64,MX,1711923156
215,ingeniero guillermo n. juarez,-23.9,-61.85,31.69,49,59,3.7,AR,1711923544
216,lompoc,34.6391,-120.4579,17.4,63,100,6.69,US,1711923445
217,gaspe,48.8334,-64.4819,1.12,55,100,5.14,CA,1711923544
218,laizhou,37.1717,119.9214,8.23,53,71,3.44,CN,1711923544
219,codrington,-38.2667,141.9667,17.85,59,100,2.38,AU,1711923464
